accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,activity
-0.2644043,-0.94000244,0.22015381,0.25,-0.46875,-0.140625,Sitting Normal
-0.26513672,-0.94610596,0.21966553,0.75,0.171875,0.625,Sitting Normal
-0.2697754,-0.9451294,0.2243042,0.796875,-0.78125,0.25,Sitting Normal
-0.2631836,-0.95147705,0.22479248,0.609375,-0.421875,0.40625,Sitting Normal
-0.25683594,-0.93951416,0.22064209,0.171875,-0.515625,-0.1875,Sitting Normal
-0.26489258,-0.9487915,0.23260498,2.234375,-0.921875,0.296875,Sitting Normal
-0.26879883,-0.95098877,0.21844482,-0.046875,-0.765625,0.234375,Sitting Normal
-0.26049805,-0.94073486,0.21209717,-0.21875,-0.703125,-0.296875,Sitting Normal
-0.2626953,-0.9456177,0.22235107,1.046875,-0.1875,0.328125,Sitting Normal
-0.2644043,-0.9529419,0.21746826,0.234375,-0.328125,0.3125,Sitting Normal
-0.26416016,-0.9487915,0.21673584,0.359375,-0.578125,0.0625,Sitting Normal
-0.25805664,-0.94610596,0.2243042,0.65625,-0.25,0.234375,Sitting Normal
-0.26513672,-0.9414673,0.2177124,0.15625,-0.3125,0.34375,Sitting Normal
-0.26635742,-0.94366455,0.21600342,0.578125,-0.625,0.1875,Sitting Normal
-0.26611328,-0.94732666,0.22210693,0.328125,-0.4375,0.203125,Sitting Normal
-0.25805664,-0.94415283,0.21551514,0.421875,-0.421875,0.109375,Sitting Normal
-0.25952148,-0.9524536,0.21258545,0.484375,-0.234375,0.40625,Sitting Normal
-0.26464844,-0.9458618,0.21136475,0.375,-0.421875,0.328125,Sitting Normal
-0.26708984,-0.9483032,0.21307373,0.296875,-0.5,0.21875,Sitting Normal
-0.26245117,-0.9512329,0.21673584,0.171875,-0.421875,0.15625,Sitting Normal
-0.26708984,-0.94195557,0.21990967,0.71875,-0.5625,0.375,Sitting Normal
-0.2614746,-0.93585205,0.21307373,-0.40625,0.109375,-0.015625,Sitting Normal
-0.26416016,-0.9578247,0.22576904,1.296875,-0.5625,0.375,Sitting Normal
